run,BLEU-1,BLEU-4,METEOR,ROUGE-L,CIDEr
"PG1 baseline (zero-shot, 50ex)",0.3293,0.0395,0.0947,0.2693,0.2532
"PG2 baseline (zero-shot, 50ex)",0.27335761977363443,4.6483129889885435e-06,0.07532543338287752,0.22283509374496702,0.17175235637873837
"PG1 rsLoRA only (500 steps, 50ex eval)",0.8198,0.5129,0.366,0.7008,2.0899
"PG2 rsLoRA only (500 steps, 500ex eval)",0.8509818315285647,0.5478959206424371,0.3882333456529897,0.7231864490777841,2.094554543060529
"PG1 main (1 epoch, 500ex eval)",0.8527,0.5848,0.4093,0.75,2.2074
